e,edot,e_next,edot_next,dt
-2.461187422,-0.00072848727,-2.461029336,-0.0007255551,0.007999999999995566
-2.461029336,-0.0007255551,-2.46088408,-0.0006782442,0.007999999999995566
-2.46088408,-0.0006782442,-2.460720643,-0.0005992803,0.007999999999995566
-2.460720643,-0.0005992803,-2.460561335,-0.0005272824,0.007999999999995566
-2.460561335,-0.0005272824,-2.4604062,-0.0004875364,0.007999999999995566
-2.4604062,-0.0004875364,-2.460255235,-0.0004319708,0.007999999999995566
-2.460255235,-0.0004319708,-2.460086465,-0.0003873889,0.007999999999995566
-2.460086465,-0.0003873889,-2.459922075,-0.00031967243,0.007999999999995566
-2.459922075,-0.00031967243,-2.459750995,-0.00028690355,0.007999999999995566
-2.459750995,-0.00028690355,-2.45958434,-0.00019359365,0.007999999999995566
-2.45958434,-0.00019359365,-2.45940052,-4.10521e-05,0.007999999999995566
-2.45940052,-4.10521e-05,-2.459220782,6.267292e-05,0.007999999999995566
-2.459220782,6.267292e-05,-2.45904532,0.00013910726,0.007999999999995566
-2.45904532,0.00013910726,-2.45887421,0.00016439047,0.007999999999995566
-2.45887421,0.00016439047,-2.458707646,0.0002027851,0.007999999999995566
-2.458707646,0.0002027851,-2.45853567,0.00023590337,0.007999999999995566
-2.45853567,0.00023590337,-2.458375484,0.00031267025,0.007999999999995566
-2.458375484,0.00031267025,-2.458219215,0.00034416368,0.007999999999995566
-2.458219215,0.00034416368,-2.458066806,0.00039167737,0.007999999999995566
-2.458066806,0.00039167737,-2.45791316,0.00044338088,0.007999999999995566
-2.45791316,0.00044338088,-2.457763404,0.00046064195,0.007999999999995566
-2.457763404,0.00046064195,-2.457617253,0.0005399351,0.007999999999995566
-2.457617253,0.0005399351,-2.45747453,0.00059014105,0.007999999999995566
-2.45747453,0.00059014105,-2.45732346,0.00062104105,0.007999999999995566
-2.45732346,0.00062104105,-2.45717624,0.0006545478,0.007999999999995566
-2.45717624,0.0006545478,-2.457032457,0.0007332256,0.007999999999995566
-2.457032457,0.0007332256,-2.456892148,0.0007497038,0.007999999999995566
-2.456892148,0.0007497038,-2.45675032,0.00079398084,0.007999999999995566
-2.45675032,0.00079398084,-2.456612095,0.0007965474,0.007999999999995566
-2.456612095,0.0007965474,-2.456477374,0.0008531158,0.007999999999995566
-2.456477374,0.0008531158,-2.456345707,0.00090895756,0.007999999999995566
-2.456345707,0.00090895756,-2.45619802,0.00096994557,0.007999999999995566
-2.45619802,0.00096994557,-2.456053853,0.001010579,0.007999999999995566
-2.456053853,0.001010579,-2.455912992,0.0010840133,0.007999999999995566
-2.455912992,0.0010840133,-2.455775455,0.001134345,0.007999999999995566
-2.455775455,0.001134345,-2.45563315,0.0011802574,0.007999999999995566
-2.45563315,0.0011802574,-2.455494538,0.001151728,0.007999999999995566
-2.455494538,0.001151728,-2.455359712,0.0011688207,0.007999999999995566
-2.455359712,0.0011688207,-2.455219403,0.0011832863,0.007999999999995566
-2.455219403,0.0011832863,-2.45507431,0.0011946181,0.007999999999995566
-2.45507431,0.0011946181,-2.454932854,0.0012108277,0.007999999999995566
-2.454932854,0.0012108277,-2.45479496,0.0012378556,0.007999999999995566
-2.45479496,0.0012378556,-2.454660743,0.0012212953,0.007999999999995566
-2.454660743,0.0012212953,-2.45452571,0.0012408711,0.007999999999995566
-2.45452571,0.0012408711,-2.454394042,0.0012856149,0.007999999999995566
-2.454394042,0.0012856149,-2.454265594,0.00129585,0.007999999999995566
